"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Color","DNP","Dielectric","LCSC","MPN","Manufacturer","Package","Tolerance","Type","Voltage","Description","Mouser PN"
"R15,R19,R28,R29,R30,R46,R47,R48,R64","9","1M","","","","PCM_fab:R_0603","https://www.lcsc.com/datasheet/C20142017.pdf","","","","C20142017","AC0603FR-7W1ML","YAGEO","0603","","SMD","","200mW 1MΩ Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS","603-AC0603FR-7W1ML"
"R20,R31,R33,R35,R49,R51,R53,R65","8","137R","","","","PCM_fab:R_0603","https://www.lcsc.com/datasheet/C227579.pdf","","","","C227579","AC0603FR-07137KL","YAGEO","0603","","SMD","","137kΩ 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS","603-AC0603FR-07137KL"
"TP1,TP4,TP22,TP29","4","GND","","","","5006_Black:KEYSTONE_5006","https://www.lcsc.com/datasheet/C2906764.pdf","","","","C2906764","5006","Keystone Electronics","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Black Compact","534-5006"
"TP2","1","5V0 IN","","","","5005_Red:KEYSTONE_5005","https://www.lcsc.com/datasheet/C2906763.pdf","","","","C2906763","5005","Keystone Electronics","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Red Compact","534-5005"
"TP3","1","3V3 LDO","","","","5005_Red:KEYSTONE_5005","https://www.lcsc.com/datasheet/C2906763.pdf","","","","C2906763","5005","Keystone Electronics","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Red Compact","534-5005"
"TP5","1","3V3 IN","","","","5005_Red:KEYSTONE_5005","https://www.lcsc.com/datasheet/C2906763.pdf","","","","C2906763","5005","Keystone Electronics","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Red Compact","534-5005"
"TP6","1","3V3 SYS","","","","5005_Red:KEYSTONE_5005","https://www.lcsc.com/datasheet/C2906763.pdf","","","","C2906763","5005","Keystone Electronics","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Red Compact","534-5005"
"TP7","1","PR1","","","","5005_Red:KEYSTONE_5005","https://www.lcsc.com/datasheet/C2906763.pdf","","","","C2906763","5005","Keystone Electronics","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Red Compact","534-5005"
"TP8","1","ST","","","","5005_Red:KEYSTONE_5005","https://www.lcsc.com/datasheet/C2906763.pdf","","","","C2906763","5005","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Red Compact","534-5005"
"TP9,TP10","2","DCD","","","","5121_Green:KEYSTONE_5121","https://www.lcsc.com/datasheet/C5272789.pdf","","","","C5272789","5121","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Green Compact","534-5121"
"TP11","1","TX-(Z)","","","","5009_Yellow:KEYSTONE_5009","https://www.lcsc.com/datasheet/C238128.pdf","","","","C238128","5014","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Yellow Multipurpose","534-5014"
"TP12,TP13","2","RXD","","","","5122_Blue:KEYSTONE_5122","https://www.lcsc.com/datasheet/C5272796.pdf","","","","C5272796","5122","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Blue Compact","534-5122"
"TP14","1","TX+(Y)","","","","5009_Yellow:KEYSTONE_5009","https://www.lcsc.com/datasheet/C238128.pdf","","","","C238128","5014","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Yellow Multipurpose","534-5014"
"TP15,TP16","2","TXD","","","","5122_Blue:KEYSTONE_5122","https://www.lcsc.com/datasheet/C5272796.pdf","","","","C5272796","5122","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Blue Compact","534-5122"
"TP17","1","RX+(A)","","","","5008_Orange:KEYSTONE_5008","https://www.lcsc.com/datasheet/C2906767.pdf","","","","C2906767","5013","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Orange Multipurpose","534-5013"
"TP18,TP19","2","DTR","","","","5121_Green:KEYSTONE_5121","https://www.lcsc.com/datasheet/C5272789.pdf","","","","C5272789","5121","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Green Compact","534-5121"
"TP20","1","RX-(B)","","","","5008_Orange:KEYSTONE_5008","https://www.lcsc.com/datasheet/C2906767.pdf","","","","C2906767","5013","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Orange Multipurpose","534-5013"
"TP21,TP30","2","RI","","","","5121_Green:KEYSTONE_5121","https://www.lcsc.com/datasheet/C5272789.pdf","","","","C5272789","5121","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Green Compact","534-5121"
"TP23,TP26","2","RTS","","","","5122_Blue:KEYSTONE_5122","https://www.lcsc.com/datasheet/C5272796.pdf","","","","C5272796","5122","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Blue Compact","534-5122"
"TP24,TP27","2","DSR","","","","5122_Blue:KEYSTONE_5122","https://www.lcsc.com/datasheet/C5272796.pdf","","","","C5272796","5122","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Blue Compact","534-5122"
"TP25,TP28","2","CTS","","","","5122_Blue:KEYSTONE_5122","https://www.lcsc.com/datasheet/C5272796.pdf","","","","C5272796","5122","Keystone Electronics§","Through Hole,P=2.54mm","","THT","","(THM) THRU HOLE MOUNT TEST POINTS - COLOR KEYED, Blue Compact","534-5122"
"U1","1","TLV77518PDBVR","","","","TLV77518PDBVR:SOT-23-5_1P75X3P05_TEX","https://www.ti.com/lit/gpn/tlv775","","","","C49292340","TLV77518PDBVR","TI","SOT-23-5","","SMD","","SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS","595-TLV77518PDBVR"
"U2","1","TPS2117DRLR","","","","TPS2117DRLR:SOTFL50P160X60-8N","https://www.ti.com/lit/gpn/tps2117","","","","C22399676","TPS2117DRLR","TI","SOT-5X3","","SMD","","TPS2117 1.6-V to 5.5-V, 4-A Low IQ Power Mux With Manual and Priority Switchover","595-TPS2117DRLR"
"U3","1","THVD4431","","","","THVD4431RHAR:RHA0040R-MFG","https://www.ti.com/lit/gpn/thvd4431","","","","C22445427","THVD4431RHAR","TI","VQFN-40-EP(6x6)","","SMD","","Transceiver 3V~5.5V 1Mbps VQFN-40-EP(6x6) Drivers, Receivers, Transceivers RoHS","595-THVD4431RHAR"
"U4,U8","2","SN74LVC2G14DBV","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.ti.com/lit/ds/symlink/sn74lvc2g14.pdf","","","","C12401","SN74LVC2G14DBVR","TI","SOT-23-6","","SMD","","Schmitt trigger 10uA 1.65V~5.5V 2 2 4.7ns@5V,50pF SOT-23-6 Gates and Inverters RoHS","595-SN74LVC2G14DBVR"
"U5","1","SN74LVC245ADBR","","","","SN74LVC245ADBR:SOP65P780X200-20N","https://www.ti.com/lit/gpn/sn74lvc245a","","","","C393617","SN74LVC245ADBR","TI","SSOP-20","","SMD","","1.65V~3.6V 10uA 3.8ns@3.3V,50pF SSOP-20 Buffers, Drivers, Receivers, Transceivers RoHS","595-SN74LVC245ADBR"
"U6,U7","2","SN74LVC14ADR","","","","SN74LVC14ADR:SOIC127P600X175-14N","https://www.ti.com/lit/gpn/sn74lvc14a","","","","C133541","SN74LVC14ADR","TI","SOIC-14","","SMD","","Schmitt trigger 1.65V~3.6V 6.2ns@3.3V,50pF 1uA 6 1 SOIC-14 Gates and Inverters RoHS","595-SN74LVC14ADR"
