Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Manufacturer,LCSC,Type,Dielectric,Voltage,Tolerance,Mouser PN,Voltage Rating,PROD_ID,Color,MF,Description_1,Price,Check_prices,SnapEDA_Link,MP,Availability,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,STANDARD,PARTREV,Purchase-URL,SNAPEDA_PN,Series
C21,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,,CAP-00810,,,,,,,,,,,,,,,
C22,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,50V,CAP-00810,,,,,,,,,,,,,,,
C23,1,470nF,C_0805_2012Metric,0805,08055C474JAT2A,Yes,smt,470nF ±5% 50V Ceramic Capacitor X7R 0805,Kyocera AVX,C14663,SMD,X7R,50V,5%,581-08055C474JAT2A,25V,CAP-00810,,,,,,,,,,,,,,,
C24,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,50V,CAP-00810,,,,,,,,,,,,,,,
C25,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,50V,CAP-00810,,,,,,,,,,,,,,,
C26,1,470nF,C_0805_2012Metric,0805,08055C474JAT2A,Yes,smt,470nF ±5% 50V Ceramic Capacitor X7R 0805,Kyocera AVX,C14663,SMD,X7R,50V,5%,581-08055C474JAT2A,25V,CAP-00810,,,,,,,,,,,,,,,
C27,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,50V,CAP-00810,,,,,,,,,,,,,,,
C28,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,50V,CAP-00810,,,,,,,,,,,,,,,
C29,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,50V,CAP-00810,,,,,,,,,,,,,,,
C3,1,2µ2,C_1206_3216Metric,1206,C1206C225J5RECAUTO,Yes,smt,2.2uF X7R ±5% 50V 1206 Ceramic Capacitors RoHS,KEMET,C1513220,SMD,X7R,50V,5%,80-C1206C225J5RECAUT,,CAP-00810,,,,,,,,,,,,,,,
C30,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,50V,CAP-00810,,,,,,,,,,,,,,,
C31,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,50V,CAP-00810,,,,,,,,,,,,,,,
C4,1,1µF,C_1206_3216Metric,1206,12065C105JAT2A,Yes,smt,1uF ±5% 50V Ceramic Capacitor X7R 1206,Kyocera AVX,C597503,SMD,X7R,50V,5%,581-12065C105JAT2A,,,,,,,,,,,,,,,,,
C5,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,,,,,,,,,,,,,,,,,
C6,1,1µF,C_1206_3216Metric,1206,12065C105JAT2A,Yes,smt,1uF ±5% 50V Ceramic Capacitor X7R 1206,Kyocera AVX,C597503,SMD,X7R,50V,5%,581-12065C105JAT2A,,,,,,,,,,,,,,,,,
C7,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,50V,CAP-00810,,,,,,,,,,,,,,,
C8,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,,CAP-00810,,,,,,,,,,,,,,,
C9,1,1µF,C_1206_3216Metric,1206,12065C105JAT2A,Yes,smt,1uF ±5% 50V Ceramic Capacitor X7R 1206,Kyocera AVX,C597503,SMD,X7R,50V,5%,581-12065C105JAT2A,,,,,,,,,,,,,,,,,
CN10,1,SSW-117-23-G-D,SAMTEC_SSW-117-23-F-D,"Through Hole,P=2.54mm",SSW-117-23-G-D,Yes,tht,Female Header 34 Position 2.54mm Pitch Dual Row Through Hole -55℃~+125℃,Samtec,C6501751,THT,,,,200-SSW11723GD,,,,,,,,,,,,,,,,,
CN7,1,SSW-110-23-G-D,SAMTEC_SSW-110-23-X-D,"Through Hole,P=2.54mm",SSW-110-23-G-D,Yes,tht,Female Header 20 Position 2.54mm Pitch Dual Row Through Hole -55℃~+125℃,Samtec,C6236460,THT,,,,200-SSW11023GD,,,,,,,,,,,,,,,,,
CN8,1,SSW-108-23-G-D,SAMTEC_SSW-108-23-F-D,"Through Hole,P=2.54mm",SSW-108-23-G-D,Yes,tht,Female Header 16 Position 2.54mm Pitch Dual Row Through Hole -55℃~+125℃,Samtec,C7019040,THT,,,,200-SSW10823GD,,,,,,,,,,,,,,,,,
CN9,1,SSW-115-23-G-D,SAMTEC_SSW-115-23-F-D,"Through Hole,P=2.54mm",SSW-115-23-G-D,Yes,tht,Female Header 30 Position 2.54mm Pitch Dual Row Through Hole -55℃~+125℃,Samtec,C7089189,THT,,,,200-SSW11523GD,,,,,,,,,,,,,,,,,
D1,1,LED,LED_0603_WRE,0603,IN-S63ATR,Yes,smt,636nm 120° 20mA Red 2.2V 0603 LED Indication - Discrete RoHS,Inolux,C6639626,SMD,,"2,2V",,743-S63ATR,"If=20mA/Vf=2,2V ",LED-,Red,,,,,,,,,,,,,,
D10,1,LED,LED_0603_WRE,0603,IN-S63AT5G,Yes,smt,Emerald Green 530nm LED Indication - Discrete 2.7V 0603,Inolux,C5656662,SMD,,"2,7V",,743-IN-S63AT5G,"If=25mA/Vf=2,7V ",LED-,Green,,,,,,,,,,,,,,
D11,1,LED,LED_0603_WRE,0603,IN-S63AT5A,Yes,smt,Amber 609nm LED Indication - Discrete 2V 0603,Inolux,C5656657,SMD,,"2,0V",,743-IN-S63AT5A,"If=25mA/Vf=2,0V ",LED-,Amber,,,,,,,,,,,,,,
D12,1,LED,LED_0603_WRE,0603,IN-S63AT5G,Yes,smt,Emerald Green 530nm LED Indication - Discrete 2.7V 0603,Inolux,C5656662,SMD,,"2,7V",,743-IN-S63AT5G,"If=25mA/Vf=2,7V ",LED-,Green,,,,,,,,,,,,,,
D13,1,LED,LED_0603_WRE,0603,IN-S63AT5A,Yes,smt,Amber 609nm LED Indication - Discrete 2V 0603,Inolux,C5656657,SMD,,"2,0V",,743-IN-S63AT5A,"If=25mA/Vf=2,0V ",LED-,Amber,,,,,,,,,,,,,,
D14,1,LED,LED_0603_WRE,0603,IN-S63AT5G,Yes,smt,Emerald Green 530nm LED Indication - Discrete 2.7V 0603,Inolux,C5656662,SMD,,"2,7V",,743-IN-S63AT5G,"If=25mA/Vf=2,7V ",LED-,Green,,,,,,,,,,,,,,
D15,1,LED,LED_0603_WRE,0603,IN-S63AT5A,Yes,smt,Amber 609nm LED Indication - Discrete 2V 0603,Inolux,C5656657,SMD,,"2,0V",,743-IN-S63AT5A,"If=25mA/Vf=2,0V ",LED-,Amber,,,,,,,,,,,,,,
D16,1,LED,LED_0603_WRE,0603,IN-S63AT5G,Yes,smt,Emerald Green 530nm LED Indication - Discrete 2.7V 0603,Inolux,C5656662,SMD,,"2,7V",,743-IN-S63AT5G,"If=25mA/Vf=2,7V ",LED-,Green,,,,,,,,,,,,,,
D17,1,LED,LED_0603_WRE,0603,IN-S63AT5A,Yes,smt,Amber 609nm LED Indication - Discrete 2V 0603,Inolux,C5656657,SMD,,"2,0V",,743-IN-S63AT5A,"If=25mA/Vf=2,0V ",LED-,Amber,,,,,,,,,,,,,,
D18,1,LED,LED_0603_WRE,0603,IN-S63AT5G,Yes,smt,Emerald Green 530nm LED Indication - Discrete 2.7V 0603,Inolux,C5656662,SMD,,"2,7V",,743-IN-S63AT5G,"If=25mA/Vf=2,7V ",LED-,Green,,,,,,,,,,,,,,
D19,1,LED,LED_0603_WRE,0603,IN-S63AT5A,Yes,smt,Amber 609nm LED Indication - Discrete 2V 0603,Inolux,C5656657,SMD,,"2,0V",,743-IN-S63AT5A,"If=25mA/Vf=2,0V ",LED-,Amber,,,,,,,,,,,,,,
D2,1,BAT54J,D_SOD-323F,SOD-323,BAT54JFILM,Yes,smt,Diode 40V 300mA Surface Mount SOD-323,ST,C86299,SMD,,40V,,511-BAT54JFILM,If=300mA,,,,,,,,,,,,,,,,
D20,1,LED,LED_0603_WRE,0603,IN-S63AT5G,Yes,smt,Emerald Green 530nm LED Indication - Discrete 2.7V 0603,Inolux,C5656662,SMD,,"2,7V",,743-IN-S63AT5G,"If=25mA/Vf=2,7V ",LED-,Green,,,,,,,,,,,,,,
D3,1,LED,LED_0603_WRE,0603,IN-S63AT5G,Yes,smt,Emerald Green 530nm LED Indication - Discrete 2.7V 0603,Inolux,C5656662,SMD,,"2,7V",,743-IN-S63AT5G,"If=25mA/Vf=2,7V ",LED-,Green,,,,,,,,,,,,,,
D4,1,LED,LED_0603_WRE,0603,IN-S63AT5A,Yes,smt,Amber 609nm LED Indication - Discrete 2V 0603,Inolux,C5656657,SMD,,"2,0V",,743-IN-S63AT5A,"If=25mA/Vf=2,0V ",LED-,Amber,,,,,,,,,,,,,,
D5,1,BAT54J,D_SOD-323F,SOD-323,BAT54JFILM,Yes,smt,Diode 40V 300mA Surface Mount SOD-323,ST,C86299,SMD,,40V,,511-BAT54JFILM,If=300mA,,,,,,,,,,,,,,,,
D6,1,LED,LED_0603_WRE,0603,IN-S63AT5G,Yes,smt,Emerald Green 530nm LED Indication - Discrete 2.7V 0603,Inolux,C5656662,SMD,,"2,7V",,743-IN-S63AT5G,"If=25mA/Vf=2,7V ",LED-,Green,,,,,,,,,,,,,,
D7,1,LED,LED_0603_WRE,0603,IN-S63AT5A,Yes,smt,Amber 609nm LED Indication - Discrete 2V 0603,Inolux,C5656657,SMD,,"2,0V",,743-IN-S63AT5A,"If=25mA/Vf=2,0V ",LED-,Amber,,,,,,,,,,,,,,
D8,1,LED,LED_0603_WRE,0603,IN-S63AT5G,Yes,smt,Emerald Green 530nm LED Indication - Discrete 2.7V 0603,Inolux,C5656662,SMD,,"2,7V",,743-IN-S63AT5G,"If=25mA/Vf=2,7V ",LED-,Green,,,,,,,,,,,,,,
D9,1,LED,LED_0603_WRE,0603,IN-S63AT5A,Yes,smt,Amber 609nm LED Indication - Discrete 2V 0603,Inolux,C5656657,SMD,,"2,0V",,743-IN-S63AT5A,"If=25mA/Vf=2,0V ",LED-,Amber,,,,,,,,,,,,,,
J1,1,HD-A(Y),Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-G-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
J10,1,SW ENA,Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
J11,1,MODE0,Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
J12,1,MODE1,Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
J13,1,MODE2,Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
J14,1,DIR,Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
